code,name,section
A005720,넥센,KOSPI
A005725,넥센우,KOSPI
A005740,크라운해태홀딩스,KOSPI
A005745,크라운해태홀딩스우,KOSPI
A005750,대림B&Co,KOSPI
A005800,신영와코루,KOSPI
A005810,풍산홀딩스,KOSPI
A005820,원림,KOSPI
A005830,DB손해보험,KOSPI
A005850,에스엘,KOSPI
A005870,휴니드,KOSPI
A005880,대한해운,KOSPI
A005930,삼성전자,KOSPI
A005935,삼성전자우,KOSPI
A005940,NH투자증권,KOSPI
A005945,NH투자증권우,KOSPI
A005950,이수화학,KOSPI
A005960,동부건설,KOSPI
A005965,동부건설우,KOSPI
A006040,동원산업,KOSPI
A006060,화승인더,KOSPI
A006090,사조오양,KOSPI
A006110,삼아알미늄,KOSPI
A006120,SK디스커버리,KOSPI
A006125,SK디스커버리우,KOSPI
A006200,한국전자홀딩스,KOSPI
A006220,제주은행,KOSPI
A006260,LS,KOSPI
A006280,녹십자,KOSPI
A006340,대원전선,KOSPI
A006345,대원전선우,KOSPI
A006360,GS건설,KOSPI
A006370,대구백화점,KOSPI
A006380,카프로,KOSPI
A006390,한일현대시멘트,KOSPI
A006400,삼성SDI,KOSPI
A006405,삼성SDI우,KOSPI
A006490,인스코비,KOSPI
A006570,대림통상,KOSPI
A006650,대한유화,KOSPI
A006660,삼성공조,KOSPI
A006740,영풍제지,KOSPI
A006800,미래에셋증권,KOSPI
A006805,미래에셋증권우,KOSPI
A00680K,미래에셋증권2우B,KOSPI
A006840,AK홀딩스,KOSPI
A006880,신송홀딩스,KOSPI
A006890,태경케미컬,KOSPI
A006980,우성사료,KOSPI
A007070,GS리테일,KOSPI
A007110,일신석재,KOSPI
A007120,미래아이앤지,KOSPI
A007160,사조산업,KOSPI
A007210,벽산,KOSPI
A007280,한국특강,KOSPI
A007310,오뚜기,KOSPI
A007340,디티알오토모티브,KOSPI
A007460,에이프로젠 MED,KOSPI
A007540,샘표,KOSPI
A007570,일양약품,KOSPI
A007575,일양약품우,KOSPI
A007590,동방아그로,KOSPI
A007610,선도전기,KOSPI
A007630,폴루스바이오팜,KOSPI
A007660,이수페타시스,KOSPI
A007690,국도화학,KOSPI
A007700,F&F홀딩스,KOSPI
A007810,코리아써키트,KOSPI
A007815,코리아써우,KOSPI
A00781K,코리아써키트2우B,KOSPI
A007860,서연,KOSPI
A007980,태평양물산,KOSPI
A008040,사조동아원,KOSPI
A008060,대덕,KOSPI
A00806K,대덕1우,KOSPI
A008110,대동전자,KOSPI
A008250,이건산업,KOSPI
A008260,NI스틸,KOSPI
A008350,남선알미늄,KOSPI
A008355,남선알미우,KOSPI
A008420,문배철강,KOSPI
A008490,서흥,KOSPI
A008500,일정실업,KOSPI
A008560,메리츠증권,KOSPI
A008600,윌비스,KOSPI
A008700,아남전자,KOSPI
A008730,율촌화학,KOSPI
A008770,호텔신라,KOSPI
A008775,호텔신라우,KOSPI
A008870,금비,KOSPI
A008930,한미사이언스,KOSPI
A008970,동양철관,KOSPI
A009070,KCTC,KOSPI
A009140,경인전자,KOSPI
A009150,삼성전기,KOSPI
A009155,삼성전기우,KOSPI
A009160,SIMPAC,KOSPI
A009180,한솔로지스틱스,KOSPI
A009190,대양금속,KOSPI
A009200,무림페이퍼,KOSPI
A009240,한샘,KOSPI
A009270,신원,KOSPI
A009275,신원우,KOSPI
A009290,광동제약,KOSPI
A009310,참엔지니어링,KOSPI
A009320,대우부품,KOSPI
A009410,태영건설,KOSPI
A009415,태영건설우,KOSPI
A009420,한올바이오파마,KOSPI
A009440,KC그린홀딩스,KOSPI
A009450,경동나비엔,KOSPI
A009460,한창제지,KOSPI
A009470,삼화전기,KOSPI
A009540,한국조선해양,KOSPI
A009580,무림P&P,KOSPI
A009680,모토닉,KOSPI
A009770,삼정펄프,KOSPI
A009810,엔케이물산,KOSPI
A009830,한화솔루션,KOSPI
A009835,한화솔루션우,KOSPI
A009900,명신산업,KOSPI
A009970,영원무역홀딩스,KOSPI
